1, 101865286, 0.4774430804867681, 9.954490919305284, 1104443.3185157659, 173.23838727392513, SimArray(2443686.544017692, 'Msol'), SimArray(312153984.20899844, 'Msol'), SimArray(1975340064.0962958, 'Msol')
2, 101863741, 0.4774430804867681, 9.954490919305284, 1337887.3924960108, 80.596288302215697, SimArray(2119379.027905994, 'Msol'), SimArray(136381213.64978582, 'Msol'), SimArray(1276094085.7061386, 'Msol')
3, 101863565, 0.4774430804867681, 9.954490919305284, 5344674.2476447318, 183.66380983898961, SimArray(5495388.6608506795, 'Msol'), SimArray(104796585.79202028, 'Msol'), SimArray(1234788731.6636653, 'Msol')
3, 101863705, 0.4774430804867681, 9.954490919305284, 50141.913360035898, 183.73673620933167, SimArray(5495388.6608506795, 'Msol'), SimArray(104796585.79202028, 'Msol'), SimArray(1234788731.6636653, 'Msol')
5, 101863510, 0.4774430804867681, 9.954490919305284, 2201854.3640504316, 47.69525211331451, SimArray(2327507.649852084, 'Msol'), SimArray(109389021.96687648, 'Msol'), SimArray(1071592827.5532126, 'Msol')
6, 101865398, 0.4774430804867681, 9.954490919305284, 250576.94972510301, 144.38932345906068, SimArray(1973930.5604437215, 'Msol'), SimArray(116340406.4004361, 'Msol'), SimArray(907848300.7512639, 'Msol')
8, 101863727, 0.4774430804867681, 9.954490919305284, 1496022.901101561, 224.95666591851739, SimArray(2519616.9062832994, 'Msol'), SimArray(92950872.59809601, 'Msol'), SimArray(859446745.5341018, 'Msol')
9, 101864796, 0.4774430804867681, 9.954490919305284, 707557.58842268307, 246.07877064277332, SimArray(1991655.147275213, 'Msol'), SimArray(91057508.55789676, 'Msol'), SimArray(778317852.0540515, 'Msol')
10, 101863726, 0.4774430804867681, 9.954490919305284, 528525.92558521801, 130.43735380222887, SimArray(748037.955832194, 'Msol'), SimArray(95380113.22232585, 'Msol'), SimArray(704342257.9202673, 'Msol')
14, 101863739, 0.4774430804867681, 9.954490919305284, 205063.23930548961, 240.35224279841805, SimArray(438230.28279580665, 'Msol'), SimArray(103975974.56577198, 'Msol'), SimArray(643753891.8376508, 'Msol')
19, 101863883, 0.4774430804867681, 9.954490919305284, 213418.60896008369, 240.26937680515397, SimArray(1253388.2842095061, 'Msol'), SimArray(49935360.65689473, 'Msol'), SimArray(491391655.74413884, 'Msol')
26, 101866127, 0.4774430804867681, 9.954490919305284, 50362.763360827434, 40.769925255611327, SimArray(142174.71505649833, 'Msol'), SimArray(56028998.53152782, 'Msol'), SimArray(386090239.9281577, 'Msol')
33, 101863732, 0.4774430804867681, 9.954490919305284, 272335.00614340376, 116.9506448890165, SimArray(785184.02532977, 'Msol'), SimArray(38767399.56064881, 'Msol'), SimArray(331580123.33881015, 'Msol')
53, 101863769, 0.4774430804867681, 9.954490919305284, 695913.72978852072, 49.590218193081547, SimArray(765471.2293717634, 'Msol'), SimArray(6946358.179060865, 'Msol'), SimArray(273249207.7177925, 'Msol')
183, 101863734, 0.4774430804867681, 9.954490919305284, 104650.14936318411, 132.76903826277453, SimArray(104650.14936318411, 'Msol'), SimArray(10020326.63630932, 'Msol'), SimArray(98877613.68587995, 'Msol')
2, 101863769, 0.767008023598156, 6.9838080476234685, 696355.62321519048, 59.662599869870107, SimArray(2028366.6501847836, 'Msol'), SimArray(492743928.90553826, 'Msol'), SimArray(4181185546.2875485, 'Msol')
3, 101867516, 0.767008023598156, 6.9838080476234685, 50114.892566226197, 313.71782255322654, SimArray(10486295.42749288, 'Msol'), SimArray(466953646.74289966, 'Msol'), SimArray(3984822085.802659, 'Msol')
4, 101863510, 0.767008023598156, 6.9838080476234685, 2208140.1267254469, 53.749246580706945, SimArray(18085533.38907159, 'Msol'), SimArray(332031868.79110205, 'Msol'), SimArray(4120536252.8815365, 'Msol')
5, 101863727, 0.767008023598156, 6.9838080476234685, 1512850.9941740725, 288.09182958777365, SimArray(4957805.419494905, 'Msol'), SimArray(393511545.8549932, 'Msol'), SimArray(3794168974.261078, 'Msol')
6, 101865286, 0.767008023598156, 6.9838080476234685, 1209938.2450371233, 227.44148714899799, SimArray(18583827.428670876, 'Msol'), SimArray(265320151.13453734, 'Msol'), SimArray(3379819742.526318, 'Msol')
8, 101863565, 0.767008023598156, 6.9838080476234685, 5352449.7150732875, 243.09245213368956, SimArray(8675703.12363707, 'Msol'), SimArray(270049814.8700179, 'Msol'), SimArray(2874210344.095853, 'Msol')
8, 101863705, 0.767008023598156, 6.9838080476234685, 50149.99576544491, 243.96633225672213, SimArray(8675703.12363707, 'Msol'), SimArray(270049814.8700179, 'Msol'), SimArray(2874210344.095853, 'Msol')
9, 101864796, 0.767008023598156, 6.9838080476234685, 728645.78613354708, 320.48647779419736, SimArray(3174212.9543448137, 'Msol'), SimArray(281849438.0702454, 'Msol'), SimArray(2570721933.1422534, 'Msol')
10, 101863741, 0.767008023598156, 6.9838080476234685, 1340324.7696458162, 89.951242947038693, SimArray(5281045.2356042415, 'Msol'), SimArray(244667663.09090567, 'Msol'), SimArray(2450242709.950421, 'Msol')
11, 101863726, 0.767008023598156, 6.9838080476234685, 531879.75079586194, 155.86908330280409, SimArray(4379771.536884129, 'Msol'), SimArray(307896046.28306353, 'Msol'), SimArray(2155694364.477408, 'Msol')
23, 101863732, 0.767008023598156, 6.9838080476234685, 273458.25325409207, 149.21502800122815, SimArray(1297249.375437534, 'Msol'), SimArray(165940875.61406595, 'Msol'), SimArray(1528366196.3425412, 'Msol')
26, 101863883, 0.767008023598156, 6.9838080476234685, 214996.2254155346, 306.06420396298597, SimArray(2213203.9972225605, 'Msol'), SimArray(108249342.57474248, 'Msol'), SimArray(1417593072.8386304, 'Msol')
27, 101863739, 0.767008023598156, 6.9838080476234685, 205179.41870221504, 319.0369839233706, SimArray(1488729.234839887, 'Msol'), SimArray(133939812.94213405, 'Msol'), SimArray(1150912987.0155938, 'Msol')
35, 101865398, 0.767008023598156, 6.9838080476234685, 250725.85940971551, 184.94463879440795, SimArray(2913284.6206182507, 'Msol'), SimArray(113725289.17862871, 'Msol'), SimArray(1185527184.1079056, 'Msol')
45, 101866127, 0.767008023598156, 6.9838080476234685, 101668.97139816727, 38.345008077443637, SimArray(699812.3250985716, 'Msol'), SimArray(109753525.98440336, 'Msol'), SimArray(832214873.062908, 'Msol')
302, 101863734, 0.767008023598156, 6.9838080476234685, 108758.32550396366, 172.89913083783892, SimArray(114809.22263094434, 'Msol'), SimArray(8851083.021003988, 'Msol'), SimArray(158709476.8512915, 'Msol')
