0.005  nan
0.015  nan
0.025  nan
0.035  nan
0.045  nan
0.055  nan
0.065  nan
0.075  nan
0.085  nan
0.095  nan
0.105  nan
0.115  nan
0.125  nan
0.135  nan
0.145  nan
0.155  nan
0.165  nan
0.175  nan
0.185  nan
0.195  nan
0.205  nan
0.215  nan
0.225  nan
0.235  nan
0.245  nan
0.255  nan
0.265  nan
0.275  nan
0.285  nan
0.295  nan
0.305  nan
0.315  nan
0.325  nan
0.335  6.59092370285e+40
0.345  1.55441221046e+41
0.355  3.84287257402e+39
0.365  1.88334539749e+39
0.375  1.38489292585e+39
0.385  1.26138746423e+39
0.395  2.07455700635e+39
0.405  1.98158725243e+39
0.415  1.35127776618e+40
0.425  7.62968980629e+39
0.435  2.93598225644e+39
0.445  1.11590695584e+39
0.455  2.38227268766e+39
0.465  9.11985935038e+38
0.475  2.19139209638e+39
0.485  1.48243939044e+39
0.495  1.67347783877e+39
0.505  7.99350688923e+38
0.515  4.4166769968e+38
0.525  1.71922860696e+39
0.535  1.126152848e+39
0.545  2.5257444301e+39
0.555  1.86436320252e+38
0.565  1.16276788097e+38
0.575  2.87437457275e+38
0.585  4.09754271587e+38
0.595  3.02657991374e+38
0.605  2.55572160258e+38
0.615  1.33762188149e+38
0.625  3.96585894495e+38
0.635  8.91028468545e+38
0.645  4.57299901859e+38
0.655  2.23904412134e+38
0.665  2.89929649243e+38
0.675  1.5079852781e+38
0.685  6.68952216347e+37
0.695  5.07728519644e+38
0.705  2.2166457385e+38
0.715  2.98621400635e+38
0.725  3.22729475796e+38
0.735  3.02383253625e+38
0.745  2.62524461169e+38
0.755  5.11146245224e+38
0.765  1.50035109699e+38
0.775  4.85537270685e+37
0.785  4.77883668333e+37
0.795  5.65062421101e+37
0.805  2.8866935057e+37
0.815  5.57180686781e+37
0.825  3.687896737e+37
0.835  4.15542677956e+37
0.845  3.74227550468e+37
0.855  1.66494153776e+37
0.865  1.81432410058e+37
0.875  3.749480775e+37
0.885  2.44663345249e+37
0.895  2.99802812175e+37
0.905  2.71419279763e+37
0.915  3.99708663952e+37
0.925  1.44246277296e+37
0.935  1.8443946742e+37
0.945  3.04231280693e+37
0.955  1.27444852319e+38
0.965  3.35980737979e+38
0.975  1.24231810524e+38
0.985  2.73558141403e+38
0.995  2.59989082371e+38
1.005  3.40204174149e+38
1.015  2.44596586872e+38
1.025  6.07201295559e+37
1.035  2.49390678144e+37
1.045  9.99958547248e+36
1.055  8.9705389182e+36
1.065  8.17367542374e+36
1.075  1.05323264316e+37
1.085  8.78734863619e+36
1.095  1.05042741154e+37
1.105  9.92214481494e+36
1.115  5.2688135034e+36
1.125  2.97513690432e+36
1.135  4.86676774609e+36
1.145  4.23116746471e+36
1.155  1.23212767778e+37
1.165  2.15905351167e+37
1.175  1.79438884743e+37
1.185  8.21273817899e+36
1.195  1.06819407301e+37
1.205  4.57610695182e+36
1.215  3.61435548444e+36
1.225  4.25543024151e+36
1.235  8.56737397179e+36
1.245  8.56550490809e+36
1.255  8.24011228396e+36
1.265  8.9378025971e+36
1.275  1.03666371191e+37
1.285  7.59380384766e+36
1.295  5.06153885395e+36
1.305  4.57318301983e+36
1.315  6.33802732017e+36
1.325  5.44877152801e+36
1.335  3.76488746406e+36
1.345  5.55652546412e+36
1.355  8.26403967489e+36
1.365  6.46999293202e+36
1.375  8.97550885378e+36
1.385  1.76563285662e+37
1.395  1.48052424882e+37
1.405  9.06618488767e+36
1.415  8.34752649951e+36
1.425  1.15474529819e+37
1.435  8.43656425747e+36
1.445  1.2682468585e+37
1.455  1.13907969326e+37
1.465  6.07458286552e+36
1.475  6.18161428789e+36
